"Time","anxiety symptoms","panic attack","can't sleep","exam stress","work stress"
"2025-08-17",38,52,23,7,16
"2025-08-24",30,54,23,7,19
"2025-08-31",31,54,29,7,16
"2025-09-07",36,54,31,8,17
"2025-09-14",31,50,26,7,17
"2025-09-21",33,50,26,7,16
"2025-09-28",30,46,26,4,13
"2025-10-05",31,46,27,7,17
"2025-10-12",29,58,21,4,18
"2025-10-19",26,51,22,4,13
"2025-10-26",31,52,28,10,20
"2025-11-02",32,55,26,14,26
"2025-11-09",33,52,29,16,25
"2025-11-16",41,59,26,17,28
"2025-11-23",37,53,24,24,35
"2025-11-30",38,59,24,29,42
"2025-12-07",34,52,20,49,48
"2025-12-14",40,55,26,100,36
"2025-12-21",30,52,25,100,28
"2025-12-28",32,65,28,65,23
"2026-01-04",35,74,31,62,31
"2026-01-11",33,59,27,21,25
"2026-01-18",33,58,27,20,30
"2026-01-25",28,61,26,18,34
"2026-02-01",35,51,24,20,31
"2026-02-08",32,58,25,22,38
"2026-02-15",36,54,26,27,44
"2026-02-22",37,53,29,23,42
"2026-03-01",40,59,30,21,30
"2026-03-08",43,57,29,20,31
"2026-03-15",50,54,25,19,28
"2026-03-22",52,60,28,19,34
"2026-03-29",63,50,27,15,29
"2026-04-05",60,74,33,19,33
"2026-04-12",49,70,31,14,26
"2026-04-19",42,66,26,15,23
"2026-04-26",40,62,34,15,29
"2026-05-03",35,54,27,15,30
"2026-05-10",40,57,29,21,36
"2026-05-17",48,60,28,16,26
"2026-05-24",42,57,30,15,27
"2026-05-31",40,55,29,13,23
"2026-06-07",41,59,29,16,28
"2026-06-14",36,57,34,14,22
"2026-06-21",38,56,26,13,21
"2026-06-28",39,55,33,16,28
"2026-07-05",46,53,30,15,24
"2026-07-12",35,62,31,12,23
"2026-07-19",32,49,25,15,29
"2026-07-26",38,52,28,14,28
"2026-08-02",22,56,29,10,16
"2026-08-09",25,59,29,7,16
"2026-08-16",31,65,29,8,16
