"Region","anxiety symptoms","panic attack","can't sleep","exam stress","work stress"
"Daman and Diu",100,0,0,0,0
"Sikkim",33,28,38,1,0
"Jammu and Kashmir",28,35,16,9,12
"Chandigarh",28,28,13,14,17
"Puducherry",27,28,21,0,24
"Mizoram",26,45,29,0,0
"Telangana",26,30,16,11,17
"Andhra Pradesh",26,24,20,14,16
"Tamil Nadu",24,34,13,10,19
"Haryana",24,32,12,14,18
"Delhi",24,30,14,15,17
"Rajasthan",23,34,14,15,14
"Punjab",23,34,13,16,14
"Gujarat",23,32,18,12,15
"Karnataka",23,31,19,9,18
"Manipur",23,20,34,16,7
"Uttar Pradesh",22,34,13,15,16
"Arunachal Pradesh",22,33,45,0,0
"Maharashtra",22,32,17,11,18
"Madhya Pradesh",21,34,15,14,16
"Uttarakhand",21,33,15,19,12
"Chhattisgarh",20,34,15,19,12
"Goa",20,31,23,11,15
"Kerala",19,40,17,10,14
"Himachal Pradesh",19,38,12,18,13
"West Bengal",19,36,21,9,15
"Bihar",18,35,15,18,14
"Assam",18,30,27,14,11
"Odisha",18,29,24,15,14
"Jharkhand",15,32,17,19,17
"Nagaland",15,23,52,10,0
"Meghalaya",14,21,45,9,11
"Tripura",11,29,33,12,15
