"Region","anxiety symptoms","burnout","psychiatrist near me","तनाव"
"Sikkim",100,0,0,0
"Manipur",54,46,0,0
"Mizoram",49,51,0,0
"Nagaland",49,51,0,0
"Meghalaya",46,54,0,0
"Jammu and Kashmir",43,41,12,4
"Arunachal Pradesh",36,64,0,0
"Andhra Pradesh",36,49,12,3
"Assam",32,52,5,11
"Telangana",30,48,19,3
"Odisha",29,51,11,9
"Punjab",29,45,12,14
"Goa",28,51,21,0
"Tamil Nadu",28,51,19,2
"Kerala",28,50,19,3
"Chandigarh",28,47,13,12
"West Bengal",27,49,17,7
"Himachal Pradesh",26,36,8,30
"Gujarat",23,50,10,17
"Puducherry",22,78,0,0
"Tripura",22,78,0,0
"Maharashtra",22,51,16,11
"Karnataka",21,64,13,2
"Haryana",21,47,11,21
"Uttarakhand",20,35,6,39
"Delhi",19,55,12,14
"Uttar Pradesh",16,30,8,46
"Jharkhand",16,30,7,47
"Bihar",14,26,4,56
"Rajasthan",13,25,5,57
"Madhya Pradesh",13,23,4,60
"Chhattisgarh",13,21,3,63
